YEAR,STATE,STATECODE,COUNTY,COUNTYCODE,AREANAME,AVERAGEVALUE
1850,Texas,480,Rusk,4010,Rusk,3
1850,Texas,480,Sabine,4030,Sabine,1
1850,Texas,480,San Augustine,4050,San Augustine,2
1850,Texas,480,San Patricio,4090,San Patricio,1
1850,Texas,480,Shelby,4190,Shelby,2
1850,Texas,480,Smith,4230,Smith,3
1850,Texas,480,Tarrant,4390,Tarrant,4
1850,Texas,480,Titus,4490,Titus,2
1850,Texas,480,Travis,4530,Travis,4
1850,Texas,480,Tyler,4570,Tyler,1
1850,Texas,480,Upshur,4590,Upshur,2
1850,Texas,480,Van Zandt,4670,Van Zandt,1
1850,Texas,480,Victoria,4690,Victoria,2
1850,Texas,480,Walker,4710,Walker,1
1850,Texas,480,Washington,4770,Washington,2
1850,Texas,480,Wharton,4810,Wharton,3
1850,Texas,480,Williamson,4910,Williamson,2
1860,California,60,Alameda,10,Alameda,18
1860,California,60,Amador,50,Amador,11
1860,California,60,Butte,70,Butte,7
1860,California,60,Calaveras,90,Calaveras,6
1860,California,60,Colusa,110,Colusa,5
1860,California,60,Contra Costa,130,Contra Costa,9
1860,California,60,Del Norte,150,Del Norte,13
1860,California,60,El Dorado,170,El Dorado,9
1860,California,60,Fresno,190,Fresno,8
1860,California,60,Humboldt,230,Humboldt,11
1860,California,60,Los Angeles,370,Los Angeles,2
1860,California,60,Marin,410,Marin,5
1860,California,60,Mariposa,430,Mariposa,5
1860,California,60,Mendocino,450,Mendocino,5
1860,California,60,Merced,470,Merced,5
1860,California,60,Monterey,530,Monterey,1
1860,California,60,Napa,550,Napa,13
1860,California,60,Nevada,570,Nevada,5
1860,California,60,Placer,610,Placer,6
1860,California,60,Plumas,630,Plumas,7
1860,California,60,Sacramento,670,Sacramento,10
1860,California,60,San Bernardino,710,San Bernardino,2
1860,California,60,San Diego,730,San Diego,1
1860,California,60,San Francisco,750,San Francisco,56
1860,California,60,San Joaquin,770,San Joaquin,6
1860,California,60,San Luis Obispo,790,San Luis Obispo,2
1860,California,60,San Mateo,810,San Mateo,11
1860,California,60,Santa Barbara,830,Santa Barbara,1
1860,California,60,Santa Clara,850,Santa Clara,18
1860,California,60,Santa Cruz,870,Santa Cruz,7
1860,California,60,Shasta,890,Shasta,5
1860,California,60,Sierra,910,Sierra,13
1860,California,60,Siskiyou,930,Siskiyou,11
1860,California,60,Solano,950,Solano,11
1860,California,60,Sonoma,970,Sonoma,11
1860,California,60,Stanislaus,990,Stanislaus,7
1860,California,60,Sutter,1010,Sutter,7
1860,California,60,Tehama,1030,Tehama,6
1860,California,60,Trinity,1050,Trinity,10
1860,California,60,Tulare,1070,Tulare,4
1860,California,60,Tuolumne,1090,Tuolumne,8
1860,California,60,Yolo,1130,Yolo,7
1860,California,60,Yuba,1150,Yuba,15
1860,Oregon,410,Benton,30,Benton,8
1860,Oregon,410,Clackamas,50,Clackamas,6
1860,Oregon,410,Clatsop,70,Clatsop,3
1860,Oregon,410,Columbia,90,Columbia,5
1860,Oregon,410,Curry,150,Curry,5
1860,Oregon,410,Douglas,190,Douglas,6
1860,Oregon,410,Jackson,290,Jackson,11
1860,Oregon,410,Josephine,330,Josephine,6
1860,Oregon,410,Lane,390,Lane,6
1860,Oregon,410,Linn,430,Linn,8
1860,Oregon,410,Marion,470,Marion,7
1860,Oregon,410,Multnomah,510,Multnomah,13
1860,Oregon,410,Polk,530,Polk,7
1860,Oregon,410,Tillamook,570,Tillamook,3
1860,Oregon,410,Umpqua,595,Umatilla,5
1860,Oregon,410,Wasco,650,Wasco,8
1860,Oregon,410,Washington,670,Washington,8
1860,Oregon,410,Yamhill,710,Yamhill,7
1860,Texas,480,Anderson,10,Anderson,3
1860,Texas,480,Angelina,50,Angelina,3
1860,Texas,480,Atascosa,130,Atascosa,1
1860,Texas,480,Austin,150,Austin,5
1860,Texas,480,Bandera,190,Bandera,5
1860,Texas,480,Bastrop,210,Bastrop,7
1860,Texas,480,Bee,250,Bee,2
1860,Texas,480,Bell,270,Bell,3
1860,Texas,480,Bexar,290,Bexar,3
1860,Texas,480,Blanco,310,Blanco,6
1860,Texas,480,Bosque,350,Bosque,3
1860,Texas,480,Bowie,370,Bowie,6
1860,Texas,480,Brazoria,390,Brazoria,4
1860,Texas,480,Brazos,410,Brazos,5
1860,Texas,480,Brown,490,Brown,2
1860,Texas,480,Burleson,510,Burleson,5
1860,Texas,480,Burnet,530,Burnet,3
1860,Texas,480,Caldwell,550,Caldwell,6
1860,Texas,480,Calhoun,570,Calhoun,4
1860,Texas,480,Cameron,610,Cameron,1
1860,Texas,480,Cass (old),655,Cass,5
1860,Texas,480,Chambers,710,Chambers,1
1860,Texas,480,Cherokee,730,Cherokee,4
1860,Texas,480,Collin,850,Collin,8
1860,Texas,480,Colorado,890,Colorado,25
1860,Texas,480,Comal,910,Comal,6
1860,Texas,480,Comanche,930,Comanche,2
1860,Texas,480,Cooke,970,Cooke,4
1860,Texas,480,Coryell,990,Coryell,3
1860,Texas,480,Dallas,1130,Dallas,7
1860,Texas,480,Denton,1210,Denton,6
1860,Texas,480,DeWitt,1230,De Witt,4
1860,Texas,480,Eastland,1330,Eastland,1
1860,Texas,480,Ellis,1390,Ellis,6
1860,Texas,480,El Paso,1410,El Paso,9
1860,Texas,480,Erath,1430,Erath,3
1860,Texas,480,Falls,1450,Falls,7
1860,Texas,480,Fannin,1470,Fannin,6
1860,Texas,480,Fayette,1490,Fayette,4
1860,Texas,480,Fort Bend,1570,Fort Bend,23
1860,Texas,480,Freestone,1610,Freestone,2
1860,Texas,480,Galveston,1670,Galveston,7
1860,Texas,480,Gillespie,1710,Gillespie,3
1860,Texas,480,Goliad,1750,Goliad,4
1860,Texas,480,Gonzales,1770,Gonzales,6
1860,Texas,480,Grayson,1810,Grayson,5
1860,Texas,480,Grimes,1850,Grimes,12
1860,Texas,480,Guadalupe,1870,Guadalupe,4
1860,Texas,480,Hamilton,1930,Hamilton,3
1860,Texas,480,Hardin,1990,Hardin,4
1860,Texas,480,Harris,2010,Harris,10
1860,Texas,480,Harrison,2030,Harrison,7
1860,Texas,480,Hays,2090,Hays,9
1860,Texas,480,Henderson,2130,Henderson,3
1860,Texas,480,Hidalgo,2150,Hidalgo,1
1860,Texas,480,Hill,2170,Hill,3
1860,Texas,480,Hopkins,2230,Hopkins,4
1860,Texas,480,Houston,2250,Houston,4
1860,Texas,480,Hunt,2310,Hunt,5
1860,Texas,480,Jack,2370,Jack,3
1860,Texas,480,Jackson,2390,Jackson,4
1860,Texas,480,Jasper,2410,Jasper,3
1860,Texas,480,Jefferson,2450,Jefferson,1
1860,Texas,480,Johnson,2510,Johnson,3
1860,Texas,480,Karnes,2550,Karnes,3
1860,Texas,480,Kaufman,2570,Kaufman,4
1860,Texas,480,Kent [*created 1876],2630,Kent,3
1860,Texas,480,Kerr,2650,Kerr,3
1860,Texas,480,Lamar,2770,Lamar,8
1860,Texas,480,Lampasas,2810,Lampasas,4
1860,Texas,480,Lavaca,2850,Lavaca,6
1860,Texas,480,Leon,2890,Leon,4
1860,Texas,480,Liberty,2910,Liberty,3
1860,Texas,480,Limestone,2930,Limestone,6
1860,Texas,480,Live Oak,2970,Live Oak,1
1860,Texas,480,Llano,2990,Llano,2
1860,Texas,480,McLennan,3090,Mclennan,10
1860,Texas,480,Madison,3130,Madison,4
1860,Texas,480,Marion,3150,Marion,3
1860,Texas,480,Mason,3190,Mason,2
1860,Texas,480,Matagorda,3210,Matagorda,9
1860,Texas,480,Medina,3250,Medina,4
1860,Texas,480,Milam,3310,Milam,5
1860,Texas,480,Montague,3370,Montague,2
1860,Texas,480,Montgomery,3390,Montgomery,3
1860,Texas,480,Nacogdoches,3470,Nacogdoches,4
1860,Texas,480,Navarro,3490,Navarro,3
1860,Texas,480,Newton,3510,Newton,3
1860,Texas,480,Nueces,3550,Nueces,1
1860,Texas,480,Orange,3610,Orange,1
1860,Texas,480,Palo Pinto,3630,Palo Pinto,2
1860,Texas,480,Panola,3650,Panola,6
1860,Texas,480,Parker,3670,Parker,2
1860,Texas,480,Polk,3730,Polk,6
1860,Texas,480,Red River,3870,Red River,6
1860,Texas,480,Refugio,3910,Refugio,2
1860,Texas,480,Robertson,3950,Robertson,6
1860,Texas,480,Rusk,4010,Rusk,5
1860,Texas,480,Sabine,4030,Sabine,3
1860,Texas,480,San Augustine,4050,San Augustine,4
1860,Texas,480,San Patricio,4090,San Patricio,1
1860,Texas,480,San Saba,4110,San Saba,3
1860,Texas,480,Shackelford,4170,Shackelford,1
1860,Texas,480,Shelby,4190,Shelby,2
1860,Texas,480,Smith,4230,Smith,5
1860,Texas,480,Titus,4490,Titus,5
1860,Texas,480,Travis,4530,Travis,2
1860,Texas,480,Trinity,4550,Trinity,5
1860,Texas,480,Tyler,4570,Tyler,4
1860,Texas,480,Upshur,4590,Upshur,5
1860,Texas,480,Uvalde,4630,Uvalde,4
1860,Texas,480,Van Zandt,4670,Van Zandt,3
1860,Texas,480,Victoria,4690,Victoria,5
1860,Texas,480,Walker,4710,Walker,8
1860,Texas,480,Washington,4770,Washington,12
1860,Texas,480,Wharton,4810,Wharton,14
1860,Texas,480,Williamson,4910,Williamson,4
1860,Texas,480,Wise,4970,Wise,5
1860,Texas,480,Wood,4990,Wood,5
1860,Texas,480,Young,5030,Young,2
1860,Texas,480,Zapata,5050,Zapata,1
1870,California,60,Alameda,10,Alameda,78
1870,California,60,Alpine,30,Alpine,1
1870,California,60,Amador,50,Amador,8
1870,California,60,Butte,70,Butte,11
1870,California,60,Calaveras,90,Calaveras,3
1870,California,60,Colusa,110,Colusa,9
1870,California,60,Contra Costa,130,Contra Costa,16
1870,California,60,Del Norte,150,Del Norte,8
1870,California,60,El Dorado,170,El Dorado,5
1870,California,60,Fresno,190,Fresno,4
1870,California,60,Humboldt,230,Humboldt,10
1870,California,60,Inyo,270,Inyo,12
1870,California,60,Kern,290,Kern,1
1870,California,60,Lake,330,Lake,5
1870,California,60,Lassen,350,Lassen,7
1870,California,60,Los Angeles,370,Los Angeles,7
1870,California,60,Marin,410,Marin,18
1870,California,60,Mariposa,430,Mariposa,4
1870,California,60,Mendocino,450,Mendocino,9
1870,California,60,Merced,470,Merced,4
1870,California,60,Mono,510,Mono,4
1870,California,60,Monterey,530,Monterey,5
1870,California,60,Napa,550,Napa,25
1870,California,60,Nevada,570,Nevada,14
1870,California,60,Placer,610,Placer,7
1870,California,60,Plumas,630,Plumas,6
1870,California,60,Sacramento,670,Sacramento,12
1870,California,60,San Bernardino,710,San Bernardino,9
1870,California,60,San Diego,730,San Diego,2
1870,California,60,San Francisco,750,San Francisco,701
1870,California,60,San Joaquin,770,San Joaquin,18
1870,California,60,San Luis Obispo,790,San Luis Obispo,3
1870,California,60,San Mateo,810,San Mateo,22
1870,California,60,Santa Barbara,830,Santa Barbara,8
1870,California,60,Santa Clara,850,Santa Clara,38
1870,California,60,Santa Cruz,870,Santa Cruz,18
1870,California,60,Shasta,890,Shasta,8
1870,California,60,Sierra,910,Sierra,7
1870,California,60,Siskiyou,930,Siskiyou,7
1870,California,60,Solano,950,Solano,27
1870,California,60,Sonoma,970,Sonoma,20
1870,California,60,Stanislaus,990,Stanislaus,8
1870,California,60,Sutter,1010,Sutter,9
1870,California,60,Tehama,1030,Tehama,6
1870,California,60,Trinity,1050,Trinity,9
1870,California,60,Tulare,1070,Tulare,9
1870,California,60,Tuolumne,1090,Tuolumne,5
1870,California,60,Yolo,1130,Yolo,18
1870,California,60,Yuba,1150,Yuba,9
1870,Nevada,320,Churchill,10,Churchill,2
1870,Nevada,320,Douglas,50,Douglas,7
1870,Nevada,320,Elko,70,Elko,6
1870,Nevada,320,Esmeralda,90,Esmeralda,8
1870,Nevada,320,Humboldt,130,Humboldt,10
1870,Nevada,320,Lander,150,Lander,3
1870,Nevada,320,Lincoln,170,Lincoln,5
1870,Nevada,320,Lyon,190,Lyon,4
1870,Nevada,320,Nye,230,Nye,3
1870,Nevada,320,Ormsby,250,Ormsby,11
1870,Nevada,320,Washoe,310,Washoe,11
1870,Nevada,320,White Pine,330,White Pine,7
1870,Oregon,410,Baker,10,Baker,7
1870,Oregon,410,Benton,30,Benton,9
1870,Oregon,410,Clackamas,50,Clackamas,8
1870,Oregon,410,Clatsop,70,Clatsop,6
1870,Oregon,410,Columbia,90,Columbia,6
1870,Oregon,410,Coos,110,Coos,8
1870,Oregon,410,Curry,150,Curry,6
1870,Oregon,410,Douglas,190,Douglas,5
1870,Oregon,410,Grant,230,Grant,7
1870,Oregon,410,Jackson,290,Jackson,7
1870,Oregon,410,Josephine,330,Josephine,8
1870,Oregon,410,Lane,390,Lane,8
1870,Oregon,410,Linn,430,Linn,14
1870,Oregon,410,Marion,470,Marion,14
1870,Oregon,410,Multnomah,510,Multnomah,17
1870,Oregon,410,Polk,530,Polk,10
1870,Oregon,410,Tillamook,570,Tillamook,8
1870,Oregon,410,Umatilla,590,Umatilla,5
1870,Oregon,410,Union,610,Union,6
1870,Oregon,410,Wasco,650,Wasco,7
1870,Oregon,410,Washington,670,Washington,11
1870,Oregon,410,Yamhill,710,Yamhill,12
1870,Texas,480,Anderson,10,Anderson,2
1870,Texas,480,Angelina,50,Angelina,2
1870,Texas,480,Atascosa,130,Atascosa,1
1870,Texas,480,Austin,150,Austin,6
1870,Texas,480,Bailey [*created 1876],170,Bailey,2
1870,Texas,480,Bastrop,210,Bastrop,6
1870,Texas,480,Bee,250,Bee,1
1870,Texas,480,Bell,270,Bell,3
1870,Texas,480,Bexar,290,Bexar,2
1870,Texas,480,Blanco,310,Blanco,2
1870,Texas,480,Bosque,350,Bosque,3
1870,Texas,480,Bowie,370,Bowie,2
1870,Texas,480,Brazoria,390,Brazoria,6
1870,Texas,480,Brazos,410,Brazos,1
1870,Texas,480,Brown,490,Brown,4
1870,Texas,480,Burleson,510,Burleson,3
1870,Texas,480,Burnet,530,Burnet,3
1870,Texas,480,Caldwell,550,Caldwell,4
1870,Texas,480,Calhoun,570,Calhoun,24
1870,Texas,480,Chambers,710,Chambers,2
1870,Texas,480,Cherokee,730,Cherokee,4
1870,Texas,480,Coleman,830,Coleman,1
1870,Texas,480,Collin,850,Collin,11
1870,Texas,480,Colorado,890,Colorado,3
1870,Texas,480,Comal,910,Comal,5
1870,Texas,480,Comanche,930,Comanche,2
1870,Texas,480,Cooke,970,Cooke,6
1870,Texas,480,Coryell,990,Coryell,2
1870,Texas,480,Dallas,1130,Dallas,6
1870,Texas,480,Denton,1210,Denton,6
1870,Texas,480,DeWitt,1230,De Witt,2
1870,Texas,480,Dimmit,1270,Dimmit,4
1870,Texas,480,Eastland,1330,Eastland,14
1870,Texas,480,Ellis,1390,Ellis,4
1870,Texas,480,El Paso,1410,El Paso,8
1870,Texas,480,Erath,1430,Erath,3
1870,Texas,480,Falls,1450,Falls,5
1870,Texas,480,Fannin,1470,Fannin,6
1870,Texas,480,Fayette,1490,Fayette,6
1870,Texas,480,Fort Bend,1570,Fort Bend,6
1870,Texas,480,Freestone,1610,Freestone,4
1870,Texas,480,Frio,1630,Frio,2
1870,Texas,480,Galveston,1670,Galveston,17
1870,Texas,480,Gillespie,1710,Gillespie,4
1870,Texas,480,Goliad,1750,Goliad,3
1870,Texas,480,Gonzales,1770,Gonzales,2
1870,Texas,480,Grayson,1810,Grayson,7
1870,Texas,480,Grimes,1850,Grimes,2
1870,Texas,480,Guadalupe,1870,Guadalupe,4
1870,Texas,480,Hamilton,1930,Hamilton,2
1870,Texas,480,Hardin,1990,Hardin,2
1870,Texas,480,Harris,2010,Harris,4
1870,Texas,480,Harrison,2030,Harrison,4
1870,Texas,480,Hays,2090,Hays,8
1870,Texas,480,Henderson,2130,Henderson,1
1870,Texas,480,Hill,2170,Hill,9
1870,Texas,480,Hood,2210,Hood,3
1870,Texas,480,Hopkins,2230,Hopkins,4
1870,Texas,480,Houston,2250,Houston,1
1870,Texas,480,Hunt,2310,Hunt,3
1870,Texas,480,Jack,2370,Jack,3
1870,Texas,480,Jackson,2390,Jackson,2
1870,Texas,480,Jasper,2410,Jasper,1
1870,Texas,480,Jefferson,2450,Jefferson,2
1870,Texas,480,Johnson,2510,Johnson,3
1870,Texas,480,Karnes,2550,Karnes,1
1870,Texas,480,Kaufman,2570,Kaufman,6
1870,Texas,480,Kendall,2590,Kendall,2
1870,Texas,480,Kerr,2650,Kerr,2
1870,Texas,480,Kimble,2670,Kimble,10
1870,Texas,480,Kinney,2710,Kinney,2
1870,Texas,480,Lamar,2770,Lamar,5
1870,Texas,480,Lampasas,2810,Lampasas,1
1870,Texas,480,Lavaca,2850,Lavaca,3
1870,Texas,480,Leon,2890,Leon,2
1870,Texas,480,Liberty,2910,Liberty,3
1870,Texas,480,Limestone,2930,Limestone,4
1870,Texas,480,Live Oak,2970,Live Oak,1
1870,Texas,480,Llano,2990,Llano,1
1870,Texas,480,McCulloch,3070,Mcculloch,1
1870,Texas,480,McLennan,3090,Mclennan,5
1870,Texas,480,McMullen,3110,Mcmullen,1
1870,Texas,480,Madison,3130,Madison,1
1870,Texas,480,Marion,3150,Marion,4
1870,Texas,480,Mason,3190,Mason,2
1870,Texas,480,Matagorda,3210,Matagorda,3
1870,Texas,480,Medina,3250,Medina,4
1870,Texas,480,Menard,3270,Menard,2
1870,Texas,480,Milam,3310,Milam,3
1870,Texas,480,Montague,3370,Montague,2
1870,Texas,480,Montgomery,3390,Montgomery,3
1870,Texas,480,Nacogdoches,3470,Nacogdoches,1
1870,Texas,480,Navarro,3490,Navarro,3
1870,Texas,480,Newton,3510,Newton,1
1870,Texas,480,Orange,3610,Orange,2
1870,Texas,480,Panola,3650,Panola,3
1870,Texas,480,Parker,3670,Parker,5
1870,Texas,480,Polk,3730,Polk,1
1870,Texas,480,Red River,3870,Red River,2
1870,Texas,480,Refugio,3910,Refugio,1
1870,Texas,480,Robertson,3950,Robertson,7
1870,Texas,480,Rusk,4010,Rusk,2
1870,Texas,480,Sabine,4030,Sabine,1
1870,Texas,480,San Augustine,4050,San Augustine,1
1870,Texas,480,San Patricio,4090,San Patricio,1
1870,Texas,480,San Saba,4110,San Saba,4
1870,Texas,480,Shackelford,4170,Shackelford,1
1870,Texas,480,Shelby,4190,Shelby,1
1870,Texas,480,Smith,4230,Smith,4
1870,Texas,480,Stephens,4290,Stephens,1
1870,Texas,480,Tarrant,4390,Tarrant,3
1870,Texas,480,Titus,4490,Titus,3
1870,Texas,480,Travis,4530,Travis,10
1870,Texas,480,Trinity,4550,Trinity,2
1870,Texas,480,Tyler,4570,Tyler,1
1870,Texas,480,Upshur,4590,Upshur,2
1870,Texas,480,Uvalde,4630,Uvalde,4
1870,Texas,480,Van Zandt,4670,Van Zandt,3
1870,Texas,480,Victoria,4690,Victoria,2
1870,Texas,480,Waller [*created 1873],4730,Waller,2
1870,Texas,480,Washington,4770,Washington,12
1870,Texas,480,Webb,4790,Webb,1
1870,Texas,480,Wharton,4810,Wharton,4
1870,Texas,480,Williamson,4910,Williamson,2
1870,Texas,480,Wilson,4930,Wilson,3
1870,Texas,480,Wise,4970,Wise,3
1870,Texas,480,Wood,4990,Wood,3
1870,Texas,480,Young,5030,Young,1
1870,Texas,480,Zavala,5070,Zavala,2
1880,California,60,Alameda,10,Alameda,63
1880,California,60,Alpine,30,Alpine,13
1880,California,60,Amador,50,Amador,11
1880,California,60,Butte,70,Butte,17
1880,California,60,Calaveras,90,Calaveras,6
1880,California,60,Colusa,110,Colusa,18
1880,California,60,Contra Costa,130,Contra Costa,21
1880,California,60,Del Norte,150,Del Norte,14
1880,California,60,El Dorado,170,El Dorado,9
1880,California,60,Fresno,190,Fresno,6
1880,California,60,Humboldt,230,Humboldt,8
1880,California,60,Inyo,270,Inyo,14
1880,California,60,Kern,290,Kern,4
1880,California,60,Lake,330,Lake,11
1880,California,60,Lassen,350,Lassen,8
1880,California,60,Los Angeles,370,Los Angeles,18
1880,California,60,Marin,410,Marin,21
1880,California,60,Mariposa,430,Mariposa,5
1880,California,60,Mendocino,450,Mendocino,8
1880,California,60,Merced,470,Merced,5
1880,California,60,Modoc,490,Modoc,9
1880,California,60,Mono,510,Mono,9
1880,California,60,Monterey,530,Monterey,19
1880,California,60,Napa,550,Napa,25
1880,California,60,Nevada,570,Nevada,11
1880,California,60,Placer,610,Placer,10
1880,California,60,Plumas,630,Plumas,10
1880,California,60,Sacramento,670,Sacramento,25
1880,California,60,San Benito,690,San Benito,9
1880,California,60,San Bernardino,710,San Bernardino,20
1880,California,60,San Diego,730,San Diego,5
1880,California,60,San Francisco,750,San Francisco,302
1880,California,60,San Joaquin,770,San Joaquin,32
1880,California,60,San Luis Obispo,790,San Luis Obispo,6
1880,California,60,San Mateo,810,San Mateo,44
1880,California,60,Santa Barbara,830,Santa Barbara,6
1880,California,60,Santa Clara,850,Santa Clara,48
1880,California,60,Santa Cruz,870,Santa Cruz,29
1880,California,60,Shasta,890,Shasta,9
1880,California,60,Sierra,910,Sierra,12
1880,California,60,Siskiyou,930,Siskiyou,15
1880,California,60,Solano,950,Solano,24
1880,California,60,Sonoma,970,Sonoma,25
1880,California,60,Stanislaus,990,Stanislaus,13
1880,California,60,Sutter,1010,Sutter,22
1880,California,60,Tehama,1030,Tehama,10
1880,California,60,Trinity,1050,Trinity,6
1880,California,60,Tulare,1070,Tulare,9
1880,California,60,Tuolumne,1090,Tuolumne,8
1880,California,60,Ventura,1110,Ventura,8
1880,California,60,Yolo,1130,Yolo,27
1880,California,60,Yuba,1150,Yuba,10
1880,Colorado,80,Arapahoe,50,Arapahoe,46
1880,Colorado,80,Bent,110,Bent,7
1880,Colorado,80,Boulder,130,Boulder,15
1880,Colorado,80,Chaffee,150,Chaffee,17
1880,Colorado,80,Clear Creek,190,Clear Creek,14
1880,Colorado,80,Conejos,210,Conejos,8
1880,Colorado,80,Costilla,230,Costilla,3
1880,Colorado,80,Custer,270,Custer,12
1880,Colorado,80,Douglas,350,Douglas,8
1880,Colorado,80,Elbert,390,Elbert,4
1880,Colorado,80,El Paso,410,El Paso,6
1880,Colorado,80,Fremont,430,Fremont,14
1880,Colorado,80,Gilpin,470,Gilpin,11
1880,Colorado,80,Grand,490,Grand,6
1880,Colorado,80,Gunnison,510,Gunnison,8
1880,Colorado,80,Hinsdale,530,Hinsdale,4
1880,Colorado,80,Huerfano,550,Huerfano,8
1880,Colorado,80,Jefferson,590,Jefferson,17
1880,Colorado,80,Lake,650,Lake,14
1880,Colorado,80,La Plata,670,La Plata,9
1880,Colorado,80,Larimer,690,Larimer,18
1880,Colorado,80,Las Animas,710,Las Animas,6
1880,Colorado,80,Ouray,910,Ouray,4
1880,Colorado,80,Park,930,Park,5
1880,Colorado,80,Pueblo,1010,Pueblo,21
1880,Colorado,80,Rio Grande,1050,Rio Grande,8
1880,Colorado,80,Routt,1070,Routt,38
1880,Colorado,80,Saguache,1090,Saguache,3
1880,Colorado,80,Weld,1230,Weld,18
1880,Nevada,320,Churchill,10,Churchill,20
1880,Nevada,320,Douglas,50,Douglas,11
1880,Nevada,320,Elko,70,Elko,5
1880,Nevada,320,Esmeralda,90,Esmeralda,13
1880,Nevada,320,Eureka,110,Eureka,7
1880,Nevada,320,Humboldt,130,Humboldt,6
1880,Nevada,320,Lander,150,Lander,5
1880,Nevada,320,Lincoln,170,Lincoln,18
1880,Nevada,320,Lyon,190,Lyon,15
1880,Nevada,320,Nye,230,Nye,13
1880,Nevada,320,Ormsby,250,Ormsby,25
1880,Nevada,320,Storey,290,Storey,16
1880,Nevada,320,Washoe,310,Washoe,22
1880,Nevada,320,White Pine,330,White Pine,8
1880,Oregon,410,Baker,10,Baker,6
1880,Oregon,410,Benton,30,Benton,15
1880,Oregon,410,Clackamas,50,Clackamas,12
1880,Oregon,410,Clatsop,70,Clatsop,7
1880,Oregon,410,Columbia,90,Columbia,10
1880,Oregon,410,Coos,110,Coos,11
1880,Oregon,410,Curry,150,Curry,8
1880,Oregon,410,Douglas,190,Douglas,8
1880,Oregon,410,Grant,230,Grant,6
1880,Oregon,410,Jackson,290,Jackson,9
1880,Oregon,410,Josephine,330,Josephine,6
1880,Oregon,410,Lake,370,Lake,5
1880,Oregon,410,Lane,390,Lane,13
1880,Oregon,410,Linn,430,Linn,17
1880,Oregon,410,Marion,470,Marion,22
1880,Oregon,410,Multnomah,510,Multnomah,31
1880,Oregon,410,Polk,530,Polk,19
1880,Oregon,410,Tillamook,570,Tillamook,9
1880,Oregon,410,Umatilla,590,Umatilla,10
1880,Oregon,410,Union,610,Union,9
1880,Oregon,410,Wasco,650,Wasco,8
1880,Oregon,410,Washington,670,Washington,19
1880,Oregon,410,Yamhill,710,Yamhill,20
1880,Texas,480,Anderson,10,Anderson,3
1880,Texas,480,Angelina,50,Angelina,2
1880,Texas,480,Aransas,70,Aransas,1
1880,Texas,480,Archer,90,Archer,2
1880,Texas,480,Atascosa,130,Atascosa,2
1880,Texas,480,Austin,150,Austin,10
